┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
│     72 │     HS56 │      7 │      4 │     first_order │          -3.46e+00 │              1.00e-03 │           1.00e-10 │             1.82e-08 │  first_order │       -3.46e+00 │           3.00e-03 │        1.92e-06 │          1.94e-06 │
│     73 │     BT12 │      5 │      3 │     first_order │           6.19e+00 │              1.00e-03 │           2.60e-05 │             1.00e-06 │  first_order │        6.19e+00 │           2.00e-03 │        7.64e-07 │          5.52e-06 │
│     74 │ HS111LNP │     10 │      3 │     first_order │          -4.78e+01 │              1.60e-02 │           2.61e-11 │             3.19e-07 │  first_order │       -4.78e+01 │           3.00e-03 │        5.50e-07 │          2.72e-07 │
│     75 │     HS52 │      5 │      3 │     first_order │           5.33e+00 │              0.00e+00 │           1.88e-09 │             6.66e-07 │  first_order │        5.33e+00 │           1.00e-03 │        1.07e-14 │          1.55e-15 │
│     76 │     HS89 │      3 │      1 │     first_order │           1.36e+00 │              1.28e-01 │           4.82e-12 │             2.44e-06 │  first_order │        1.36e+00 │           1.00e-02 │        3.50e-06 │          0.00e+00 │
│     77 │ CONGIGMZ │      3 │      5 │     first_order │           2.00e+00 │              5.00e-03 │           1.63e-10 │             4.34e-08 │  first_order │        2.80e+01 │           5.00e-03 │        6.84e-07 │          5.49e-07 │
│     78 │   POLAK5 │      3 │      2 │     first_order │           5.00e+01 │              4.40e-02 │           1.78e-09 │             7.85e-14 │  first_order │        5.00e+01 │           4.00e-03 │        6.85e-06 │          5.03e-06 │
│     79 │     HS47 │      5 │      3 │     first_order │           1.38e-15 │              1.00e-03 │           4.79e-07 │             9.11e-06 │  first_order │        2.14e-09 │           3.00e-03 │        4.90e-06 │          1.63e-06 │
│     80 │      CB3 │      3 │      3 │     first_order │           2.00e+00 │              3.00e-03 │           1.48e-11 │             2.38e-08 │  first_order │        2.00e+00 │           2.00e-03 │        2.71e-08 │          0.00e+00 │
│     81 │     HS12 │      2 │      1 │     first_order │          -3.00e+01 │              2.00e-03 │           6.67e-09 │             4.74e-11 │  first_order │       -3.00e+01 │           2.00e-03 │        4.15e-10 │          0.00e+00 │
│     82 │      BT3 │      5 │      3 │     first_order │           4.09e+00 │              0.00e+00 │           1.32e-09 │             3.68e-07 │  first_order │        4.09e+00 │           1.00e-03 │        1.42e-14 │          7.11e-15 │
│     83 │    HS268 │      5 │      5 │     first_order │           2.73e-01 │              0.00e+00 │           2.98e-02 │             2.75e-06 │  first_order │        5.64e-04 │           3.00e-03 │        2.81e-09 │          0.00e+00 │
│     84 │     HS22 │      2 │      2 │     first_order │           1.00e+00 │              0.00e+00 │           1.32e-12 │             8.62e-09 │  first_order │        1.00e+00 │           2.00e-03 │        3.12e-08 │          0.00e+00 │
└────────┴──────────┴────────┴────────┴─────────────────┴────────────────────┴───────────────────────┴────────────────────┴──────────────────────┴──────────────┴─────────────────┴────────────────────┴─────────────────┴───────────────────┘
